archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,duplicateDetails,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature+moisture,N/A,europe_slov002,FE23_europe_slov002,N/A,950.0,45.766666412353516,14.283333778381348,JavornikPostojna,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/slov002.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Levanic,TRW,ABAL,standardized_anomalies,CE
tree,moisture,N/A,europe_spai003,FE23_europe_spai003,N/A,2100.0,42.53333282470703,1.5,BosquedeRabassa,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai003.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PIMU,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_spai011,FE23_europe_spai011,N/A,1500.0,40.18333435058594,-2.0833332538604736,Torreton,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai011.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: GenovaFuster,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_spai021,FE23_europe_spai021,N/A,1650.0,40.86666488647461,-4.199999809265137,Pedriza,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai021.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: GenovaFuster,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_spai023,FE23_europe_spai023,N/A,1550.0,40.28333282470703,-1.4500000476837158,AlbarracinValdecuenca,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai023.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PISP,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_spai025,FE23_europe_spai025,N/A,1405.0,37.95000076293945,-2.933333396911621,LasBanasI,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai025.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_spai040,FE23_europe_spai040,N/A,1650.0,40.29999923706055,-0.6833333373069763,GudarPradillo,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai040.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_spai041,FE23_europe_spai041,N/A,1475.0,40.28333282470703,-0.699999988079071,GudarLosRoquetas,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai041.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_spai043,FE23_europe_spai043,N/A,1500.0,40.63333511352539,-0.4833333194255829,GudarVillarluengo,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai043.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PINI,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_spai045,FE23_europe_spai045,N/A,1385.0,40.25,-1.9333332777023315,CuencaUnaSite1,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai045.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PINI,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_spai046,FE23_europe_spai046,N/A,1440.0,40.266666412353516,-1.9333332777023315,CuencaUnaSite2,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai046.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PINI,standardized_anomalies,CE
tree,moisture,N/A,europe_spai052,FE23_europe_spai052,N/A,880.0,42.83333206176758,-3.1666667461395264,BurgosSanZanordil,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai052.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Richter,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_spai058w,FE23_europe_spai058w,N/A,1400.0,40.266666412353516,-5.599999904632568,"Calvero,S.d.Gredos",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/spai058w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_swed022w,FE23_europe_swed022w,N/A,50.0,56.5,15.0,Gotland,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed022w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_swed302,FE23_europe_swed302,N/A,30.0,59.20000076293945,18.700000762939453,NaemdoeStockholmArchipelago,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/swed302.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Larsson,TRW,PISY,standardized_anomalies,CE
