datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
iso2k_1595,Speleothem,SP98KUCN,340.0,39.79999923706055,115.9000015258789,"ShiHua Cave, China",negative,Summer,N/A,"Original interpretation_variable: circulationVariable, interpretation_variableDetail: More negative d18O values correspond to stronger amount",https://www.ncdc.noaa.gov/paleo-search/study/5416,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_1619,GlacierIce,IC09KANG,2917.0,75.0999984741211,-42.31999969482422,NGRIP,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/8700,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1626,GlacierIce,IC09VIRE,2350.0,71.2699966430664,-26.729999542236328,Renland,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/11148,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1628,GlacierIce,IC00THDS,7200.0,28.3799991607666,85.72000122070312,Dasuopu,positive,Jun-Aug,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/11180,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1631,GlacierIce,IC00THDS,7200.0,28.3799991607666,85.72000122070312,Dasuopu,positive,Jun-Aug,temperature,air@surface,https://www.ncdc.noaa.gov/paleo-search/study/11180,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1633,LakeSediment,LS14ZHJU,670.0,-0.8999999761581421,-89.4832992553711,El Junco Lake,positive,Annual,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: air@surface",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_1637,GlacierIce,IC13ST21,1957.0,-82.0,-110.01000213623047,US-ITASE-2002-1,positive,Annual,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22519,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1639,GlacierIce,IC07KARB,6518.0,28.030000686645508,86.95999908447266,East Rongbuk Glacier,positive,Summer,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: precipitation",https://www.ncdc.noaa.gov/paleo/study/6180,Iso2k v1.1.2,; archiveType changed - was originally Ice core (IC); archiveType changed - was originally Ice core (IC),dD,nan,permil,d2H,CE
iso2k_1643,Coral,CO13DESC01A,-4.0,19.28700065612793,110.65599822998047,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
iso2k_1644,Coral,CO13DESC01A,-4.0,19.28700065612793,110.65599822998047,Hainan Island,N/A,N/A,N/A,N/A,https://agupubs.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1002%2F2016JC012458&file=jgrc22050-sup-0002-2016JC012458-ds01.xlsx,Iso2k v1.1.2,nan,d18O,nan,permil,d18O,CE
