archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
marine sediment,temperature,sea@surface,O2kLR-Minorca.Moreno.2012,pages2k_LPD10e9f8f7,-2394.0,40.5,4.03,Minorca contourite,http://doi.pangaea.de/10.1594/PANGAEA.780423,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally temp_C; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,alkenone,N/A,degC,CE
tree,temperature,air@surface,Asia-YKC,pages2k_Asia_119,3700.0,30.33,130.45,JAPA018,https://www.ncdc.noaa.gov/paleo/study/15213,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
lake sediment,temperature,air@surface,Arc-ScreamingLynx.Clegg.2011,pages2k_Arc_041,223.0,66.07,-145.4,Screaming Lynx Lake,https://www.ncdc.noaa.gov/paleo/study/12443,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,midge,N/A,degC,CE
sclerosponge,temperature,sea@surface,Ocean2kHR-AtlanticPedroBankHaaseSchramm2003,pages2k_Ocean2kHR_128,-125.0,17.5333,-78.95,Pedro Bank Jamaica,https://www.ncdc.noaa.gov/paleo/study/1878,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 -8 1 2 3 4 5 6 7,d18O,nicholsoni,permil,CE
sclerosponge,temperature,sea@surface,Ocean2kHR-AtlanticPedroBankHaaseSchramm2003,pages2k_Ocean2kHR_129,-125.0,17.5333,-78.95,Pedro Bank Jamaica,https://www.ncdc.noaa.gov/paleo/study/1878,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally -12 -11 -10 -9 -8 1 2 3 4 5 6 7; paleoData_variableName changed - was originally Sr_Ca,Sr/Ca,nicholsoni,mmol/mol,CE
tree,temperature,air@surface,Asia-NOGSAK,pages2k_Asia_216,3300.0,51.83,143.13,NOGSAK,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
lake sediment,temperature,air@surface,Eur-LakeSilvapla.Trachsel.2010,pages2k_Eur_002,1791.0,46.5,9.8,Lake Silvaplana,http://www.ncdc.noaa.gov/paleo/study/13016,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,reflectance,N/A,degC,CE
tree,temperature,air@surface,NAm-cana053,pages2k_NAm_976,1400.0,62.7,-111.0,Pethai Peninsula,https://www.ncdc.noaa.gov/paleo/study/4583,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCGL,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-IndianIfatyTulearZinke2014tul3,pages2k_Ocean2kHR_022,-1.1,-23.3572,43.6195,Ifaty,https://www.ncdc.noaa.gov/paleo/study/16438,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 3 4 5 6 7 8 9 10 11 12 13 14,d18O,NaN,permil,CE
tree,temperature,air@surface,NAm-cana384,pages2k_NAm_2008,1330.0,60.1,-134.4,Sugarloaf,https://www.ncdc.noaa.gov/paleo/study/15527,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,ABLA,N/A,CE
tree,temperature,air@surface,NAm-cana354,pages2k_NAm_1876,800.0,60.2,-138.5,Landslide,https://www.ncdc.noaa.gov/paleo/study/13785,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCGL,N/A,CE
tree,temperature,air@surface,NAm-ca603,pages2k_NAm_772,3300.0,37.9,-119.2,Dana Plateau Inyo National Forest,"https://www.ncdc.noaa.gov/cdo/f?P=519:1:::::P1_STUDY_ID,P1_SITE_ID:3690,16112",PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PIAL,N/A,CE
