archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature,air@surface,Asia-YKA,pages2k_Asia_118,3500.0,30.37,130.53,JAPA017,https://www.ncdc.noaa.gov/paleo/study/15212,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
lake sediment,temperature,lake@surface,Asia-Chu.2012.Sihailongwanlake,pages2k_LPDdc74a376,1000.0,42.17,126.36,Sihailongwa lake,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_units changed - was originally deg C,alkenone,N/A,degC,CE
tree,temperature,air@surface,Asia-CENTIB,pages2k_Asia_225,2900.0,29.35,92.0,CENTIB,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ca530,pages2k_NAm_640,3505.0,36.3,-118.2,Cirque Peak,https://www.ncdc.noaa.gov/paleo/study/3348,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PIBA,N/A,CE
tree,temperature,air@surface,SAm-CAN6.Neukom.2014,pages2k_SAm_015,1400.0,-38.5,-71.5,Central Andes composite 6,http://www.ncdc.noaa.gov/paleo/study/1003952,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally C_Andes_Cluster_6_Data_Signalfree_2; paleoData_units changed - was originally unitless; climateInterpretation_seasonality changed - was originally -5 -6 -7 -8 -9 -10 -11 -12 1 2 3 8,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-Hushre,pages2k_Asia_165,3700.0,46.78,101.95,Hushre,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-KHOGLS,pages2k_Asia_148,3200.0,48.17,99.87,MONG015,https://www.ncdc.noaa.gov/paleo/study/12652,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-BUKCDD,pages2k_Asia_190,3000.0,35.68,71.63,PAKI020,https://www.ncdc.noaa.gov/paleo/study/15315,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-NARKAB,pages2k_Asia_104,3150.0,31.2,77.23,INDI015,https://www.ncdc.noaa.gov/paleo/study/2796,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana382,pages2k_NAm_1996,1350.0,59.6,-133.4,Snake Creek,https://www.ncdc.noaa.gov/paleo/study/15525,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,ABLA,N/A,CE
tree,temperature,air@surface,Asia-BAYHLS,pages2k_Asia_140,300.0,46.32,101.32,MONG027,https://www.ncdc.noaa.gov/paleo/study/12652,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-CGPPIG,pages2k_Asia_193,3000.0,35.9,71.73,PAKI023,https://www.ncdc.noaa.gov/paleo/study/15318,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-RANGCD,pages2k_Asia_103,3240.0,33.08,76.43,RANGCD,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-HRPCSM,pages2k_Asia_215,3100.0,35.88,74.88,HRPCSM,https://www.ncdc.noaa.gov/paleo/study/14188,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,Asia-GHUNAB,pages2k_Asia_179,3400.0,27.5,88.02,NEPA021,https://www.ncdc.noaa.gov/paleo/study/3776,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
marine sediment,temperature,sea@surface,Asia-SO9039KGSO1.Munz.2015,pages2k_Asia_335,-695.0,24.8333,65.9167,SO90-39KG/SO130-275KL,https://doi.pangaea.de/10.1594/PANGAEA.853971,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally winter (J-F-M); climateInterpretation_seasonality changed - was originally 1/2/2003,foraminifera,N/A,degC,CE
tree,temperature,air@surface,Asia-KOELIU,pages2k_Asia_135,4000.0,42.2,79.05,KYRG012,https://www.ncdc.noaa.gov/paleo/study/15237,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-ak132,pages2k_NAm_3772,790.0,68.7,-141.6,Firth River 1236,https://www.ncdc.noaa.gov/cdo/f?p=519:1:::::P1_STUDY_ID:14790,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCGL,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-IndianAqabaHeiss1994AQ18,pages2k_Ocean2kHR_014,-1.0,29.42,34.97,"Aqaba, Jordan",http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:::::P1_study_id:1854,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally 1 2 3 4 5 6 7 8 9 10 11 12,d18O,N/A,permil,CE
tree,temperature,air@surface,Asia-KJTRJT,pages2k_Asia_127,2900.0,39.92,71.47,KYRG009,https://www.ncdc.noaa.gov/paleo/study/15234,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
marine sediment,temperature,sea@surface,O2kLR-Philippines-MD98-2181.Stott.2007,pages2k_LPD1a0245b7,-2114.0,6.3,125.82,Philippines,https://www.ncdc.noaa.gov/paleo/study/6400,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally temp_C; paleoData_units changed - was originally deg C; climateInterpretation_seasonality changed - was originally Annual,foram Mg/Ca,N/A,degC,CE
