archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Anjohibe,sisal_738.0_398,131.0,-15.53,46.88,Anjohibe,10.1126/sciadv.abb2459,SISAL v3,mixed,d18O,N/A,permil,CE
speleothem,N/A,N/A,Anjohibe,sisal_738.0_399,131.0,-15.53,46.88,Anjohibe,10.1126/sciadv.abb2459,SISAL v3,mixed,d13C,N/A,permil,CE
speleothem,N/A,N/A,Anjohibe,sisal_738.0_400,131.0,-15.53,46.88,Anjohibe,10.1126/sciadv.abb2459,SISAL v3,mixed,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Bàsura cave,sisal_739.0_401,200.0,44.13,8.2,Bàsura cave,10.1038/s41467-022-32654-w,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Mg/Ca,Bàsura cave,sisal_739.0_402,200.0,44.13,8.2,Bàsura cave,10.1038/s41467-022-32654-w,SISAL v3,calcite,Mg/Ca,N/A,mmol/mol,CE
speleothem,N/A,N/A,Bàsura cave,sisal_739.0_403,200.0,44.13,8.2,Bàsura cave,10.1038/s41467-022-32654-w,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Careys cave,sisal_742.0_404,393.0,-35.07,148.66,Careys cave,10.1177/0959683620981717,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Careys cave,sisal_742.0_405,393.0,-35.07,148.66,Careys cave,10.1177/0959683620981717,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,temperature,temperature - manually assigned by DoD2k authors for paleoData_proxy = Mg/Ca,Careys cave,sisal_742.0_406,393.0,-35.07,148.66,Careys cave,10.1177/0959683620981717,SISAL v3,calcite,Mg/Ca,N/A,mmol/mol,CE
speleothem,N/A,N/A,Careys cave,sisal_742.0_407,393.0,-35.07,148.66,Careys cave,10.1177/0959683620981717,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cathedral cave,sisal_743.0_408,300.0,-32.617,148.94,Cathedral cave,10.1016/j.gca.2019.12.007,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cathedral cave,sisal_743.0_409,300.0,-32.617,148.94,Cathedral cave,10.1016/j.gca.2019.12.007,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cathedral cave,sisal_743.0_410,300.0,-32.617,148.94,Cathedral cave,10.1016/j.gca.2019.12.007,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cuíca cave,sisal_752.0_411,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cuíca cave,sisal_752.0_412,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cuíca cave,sisal_752.0_413,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Cuíca cave,sisal_753.0_414,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Cuíca cave,sisal_753.0_415,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,d13C,N/A,permil,CE
speleothem,N/A,N/A,Cuíca cave,sisal_753.0_416,310.0,-11.6822,-60.6431,Cuíca cave,10.1016/j.quascirev.2022.107383,SISAL v3,calcite,growth rate,N/A,mm/year,CE
speleothem,temperature+moisture,temperature+moisture - manually assigned by DoD2k authors for paleoData_proxy = d18O.,Golgotha cave,sisal_765.0_417,72.0,-34.083,115.05,Golgotha cave,10.1038/s43247-022-00347-3,SISAL v3,calcite,d18O,N/A,permil,CE
speleothem,N/A,N/A,Golgotha cave,sisal_765.0_418,72.0,-34.083,115.05,Golgotha cave,10.1038/s43247-022-00347-3,SISAL v3,calcite,d13C,N/A,permil,CE
