"site_id","entity_id","entity_name","entity_status","corresponding_current","persist_id","depth_ref","geology","rock_age","wokam","vegetation_type","land_use","copernicus_lcc","cover_type","cover_thickness","host_rock_trace_elements","drip_water_trace_elements","distance_entrance","speleothem_type","drip_type","drip_height","d13C","d18O","iso_std","d18O_water_equilibrium","d18O_dripwater_carbonate_difference","organics","fluid_inclusions","mineralogy_petrology_fabric","clumped_isotopes","noble_gas_temperatures","C14","ODL","Sr_Ca","Sr_Ca_method","Sr_Ca_std","Sr_Ca_downsampled","Sr_Ca_downsampling_method","Mg_Ca","Mg_Ca_method","Mg_Ca_std","Mg_Ca_downsampled","Mg_Ca_downsampling_method","Ba_Ca","Ba_Ca_method","Ba_Ca_std","Ba_Ca_downsampled","Ba_Ca_downsampling_method","U_Ca","U_Ca_method","U_Ca_std","U_Ca_downsampled","U_Ca_downsampling_method","P_Ca","P_Ca_method","P_Ca_std","P_Ca_downsampled","P_Ca_downsampling_method","Sr_isotopes","Sr_isotopes_method","Sr_isotopes_std","trace_elements_datafile","trace_elements_metadatafile","cave_map","entity_scan","contact","data_DOI_URL"
320,793,"KT-3","current",NA,"320-KT3","from top","limestone","Oligocene","continuous carbonate","sparse","unknown","cultivated and managed vegetation / agriculture","patchy",200,"no","no",750,"stalagmite","unknown",1.5,"yes","yes","Vienna-PDB","yes",NA,"no","no","yes","no","no","no","no","yes","solution OES-MS","other (see notes)","No-not applicable",NA,"yes","solution OES-MS","other (see notes)","No-not applicable",NA,"yes","solution OES-MS","other (see notes)","No-not applicable",NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"yes","no","no","no","Carole Nehme",NA
100,794,"K2","current",NA,"100-K2","from top","limestone","Devonian",NA,"mixed (see notes)","forest","closed forest, mixed","unknown",125,"unknown","unknown",250,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"unknown","unknown","yes","unknown","unknown","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Franziska Lechleitner",NA
100,795,"K4","current",NA,"100-K4","from top","limestone","Devonian",NA,"mixed (see notes)","forest","closed forest, mixed","unknown",125,"unknown","unknown",250,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"unknown","unknown","yes","unknown","unknown","unknown","unknown","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Franziska Lechleitner",NA
321,796,"TK7","current",NA,"321-TK7","from top","limestone","Permian",NA,"unknown","unknown","closed forest, evergreen broad leaf","unknown",NA,"unknown","no",400,"stalagmite","unknown",NA,"no","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Jiaoyang Ruan",NA
321,797,"TK20","current",NA,"321-TK20","from top","limestone","Permian",NA,"unknown","unknown","closed forest, evergreen broad leaf","unknown",NA,"unknown","no",400,"stalagmite","unknown",NA,"no","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Jiaoyang Ruan",NA
321,798,"TK40","current",NA,"321-TK40","from top","limestone","Permian",NA,"unknown","unknown","closed forest, evergreen broad leaf","unknown",NA,"unknown","no",400,"stalagmite","unknown",NA,"no","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Jiaoyang Ruan",NA
322,799,"NIR-1","current",NA,"322-NIR1","from top","limestone","unknown",NA,"unknown","unknown","herbaceous vegetation","unknown",NA,"no","no",300,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Carole Nehme",NA
322,800,"NIR-2","current",NA,"322-NIR2","from top","limestone","unknown",NA,"unknown","unknown","herbaceous vegetation","unknown",NA,"no","no",300,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Carole Nehme",NA
322,801,"NIR_composite","current",NA,"322-NIR-COMP","from top","limestone","unknown",NA,"unknown","unknown","herbaceous vegetation","unknown",NA,"no","no",300,"composite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Carole Nehme",NA
323,802,"K4_kyok","current",NA,"323-K4KYOK","from top","limestone","Cambrian",NA,"evergreen","forest","herbaceous vegetation","thick",90,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","yes",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"yes","micro XRF","unknown","Yes-author downsampled","running average/mean","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"yes","no","no","no","Jonathan Baker","https://www.ncei.noaa.gov/access/paleo-search/study/33713?siteId=58917"
