"site_id","site_name","latitude","longitude","elevation","monitoring"
207,"Shatuca cave",-5.7,-77.9,1960,"no"
208,"Tangga cave",-0.36,100.76,600,"no"
209,"Uluu-Too cave",40.4,72.35,1490,"yes"
210,"White moon cave",37,-122.183,170,"yes"
211,"Xiangshui cave",25.25,110.92,380,"unknown"
212,"Peqiin cave",32.58,35.19,650,"unknown"
213,"Tausoare cave",47.4333,24.5167,950,"yes"
214,"Cave C126",-22.1,113.9,100,"no"
215,"Chaara cave",33.9558,-4.2461,1260,"no"
216,"Dark cave",27.2,106.1667,1120,"no"
217,"E'mei cave",29.5,115.5,53,"no"
218,"Nuanhe cave",41.3333,124.9167,500,"no"
219,"Shennong cave",28.71,117.26,383,"yes"
220,"Baeg-nyong cave",37.27,128.58,250,"yes"
221,"La Vierge cave",-19.7572,63.3703,32,"no"
222,"Patate cave",-19.7583,63.3864,20,"no"
223,"Wanxiang cave",33.32,105,1200,"yes"
224,"Xianglong cave",33,106.33,940,"yes"
225,"Chiflonkhakha cave",-18.1222,-65.7739,2660,"no"
226,"Cueva del Diamante",-5.73,-77.5,960,"unknown"
227,"El Capitan cave",56.162,-133.319,80,"no"
228,"Bat cave",32.1,-104.26,1300,"unknown"
229,"Actun Tunichil Muknal",17.1,-88.85,40,"no"
230,"Marota cave",-12.6227,-41.0216,560,"no"
231,"Pacupahuain cave",-11.24,-75.82,3800,"unknown"
232,"Rio Secreto cave system",20.59,-87.13,20,"yes"
233,"Robinson cave",33,-107.7,2007,"unknown"
234,"Santana cave",-24.5308,-48.7267,250,"yes"
235,"Cueva del Tigre Perdido",-5.9406,-77.3081,1000,"unknown"
236,"Toca da Boa Vista",-10.1602,-40.8605,600,"no"
237,"Umajalanta cave",-18.12,-65.77,2830,"no"
238,"Akalagavi cave",14.9833,74.5167,521,"no"
239,"Baluk cave",42.433,84.733,2752,"no"
240,"Baratang cave",12.0833,92.75,20,"no"
241,"Gempa bumi cave",-5,120,140,"unknown"
242,"Haozhu cave",30.6833,109.9833,1017,"unknown"
243,"Kailash cave",18.8445,81.9915,490,"no"
244,"Lianhua cave, Shanxi",38.1667,113.7167,1200,"no"
245,"Nakarallu cave",14.52,77.99,280,"no"
246,"Palawan cave",10.2,118.9,2,"no"
247,"Shalaii cave",35.1469,45.2958,739,"yes"
248,"Shenqi cave",28.333,103.1,1407,"unknown"
249,"Shigao cave",28.183,107.167,970,"unknown"
250,"Wuya cave",33.82,105.43,1370,"no"
251,"Zhenzhu cave",38.25,113.7,975,"yes"
252,"Andriamaniloke",-24.051,43.7569,20,"no"
253,"Hoq cave",12.5866,54.3543,335,"no"
254,"PP29",-34.2078,22.0876,10,"no"
255,"Mitoho",-24.0477,43.7533,20,"no"
256,"Lithophagus cave",46.828,22.6,545,"no"
257,"Akcakale cave",40.4498,39.5365,1530,"yes"
258,"B7 cave",49,7,185,"yes"
259,"Cobre cave",42.98,-4.37,1600,"unknown"
260,"Crovassa Azzurra",39.28,8.48,410,"no"
261,"El Soplao cave",43.2962,-4.3937,550,"yes"
262,"Bleßberg cave",50.4244,11.0203,500,"yes"
263,"Bulgarian Orlova Chuka cave",43.5937,25.9597,150,"no"
264,"Strašna peć cave",44.0049,15.0388,74,"yes"
265,"Coves de Campanet",39.7937,2.9683,65,"no"
266,"Cueva Victoria",37.6322,-0.8215,75,"no"
267,"Gruta do Casal da Lebre",39.3,-9.2667,130,"yes"
268,"Pere Noel cave",50,5.2,230,"yes"
269,"Gejkar cave",35.8,45.1645,650,"no"
270,"Gol-E-Zard cave",35.84,52,2535,"yes"
271,"Jersey cave",-35.72,148.49,800,"no"
272,"Metro cave",-41.93,171.47,60,"unknown"
273,"Crystal cave",36.59,-118.82,1386,"yes"
274,"Terciopelo cave",10.17,-85.33,370,"no"
275,"Buraca Gloriosa",39.5333,-8.7833,420,"yes"
276,"Béke cave",48.4833,20.5167,338,"yes"
277,"Huagapo cave",-11.27,-75.79,3850,"no"
278,"Pink Panther cave",32,-105.2,1900,"unknown"
279,"Staircase cave",-34.2071,22.0899,30,"no"
280,"Atta cave",51.1,7.9,308,"yes"
281,"Venado cave",10.55,-84.77,380,"no"
282,"Wadi Sannur cave",28.6167,31.2833,200,"no"
283,"Babylon cave",-41.95,171.47,175,"unknown"
284,"Creighton`s cave",-40.63,172.47,80,"unknown"
285,"Disbelief cave",-38.82,177.52,600,"unknown"
286,"La Garma cave",43.4306,-3.6658,85,"yes"
287,"Twin Forks cave",-40.63,172.48,80,"unknown"
288,"Wet Neck cave",-40.7,172.48,90,"unknown"
289,"Gassel Tropfsteinhöhle",47.8228,13.8428,1225,"unknown"
290,"Grete-Ruth Shaft",47.5429,12.0272,1435,"no"
